File Type,File Path,Vulnerable Methods/Issues,Status
Controller,/agency/Agency_staff.php,"enable, disable, remove, update",NEEDS_FIX
Controller,/agency/Candidates_list.php,"remove_candidate_from_job",NEEDS_FIX
Controller,/agency/Jobs_listings.php,"remove, enable, disable, delete",NEEDS_FIX
Controller,/recruiter/Candidates.php,"create, for_job",NEEDS_FIX
Controller,/recruiter/Chat.php,"start_job_chat, get_or_create_conversation, send_message, mark_messages_as_read, get_or_create_candidate_conversation",NEEDS_FIX
Controller,/recruiter/Dashboard.php,"upload_document",NEEDS_FIX
Controller,/recruiter/Jobs.php,"ajax_assign_candidate_to_job",NEEDS_FIX
Controller,/Browser.php,All methods protected,OK
Controller,/Cron.php,All methods protected,OK
Controller,/Files.php,All methods protected,OK
Controller,/Login.php,All methods protected,OK
Controller,/admin/Administrators.php,All methods protected,OK
Controller,/admin/Agencies.php,All methods protected,OK
Controller,/admin/Agency_templates.php,All methods protected,OK
Controller,/admin/Recruiters.php,All methods protected,OK
Controller,/admin/Staff.php,All methods protected,OK
Controller,/admin/Template_sections.php,All methods protected,OK
Controller,/admin/Templates.php,All methods protected,OK
Controller,/admin/Test_form_builder.php,All methods protected,OK
Controller,/agency/Agency_templates.php,All methods protected,OK
Controller,/agency/Candidates.php,All methods protected,OK
Controller,/agency/Notifications.php,All methods protected,OK
Controller,/agency/Recruiters.php,All methods protected,OK
Controller,/agency/Template_sections.php,All methods protected,OK
Controller,/agency/Templates.php,All methods protected,OK
Controller,/agency/Test_form_builder.php,All methods protected,OK
Controller,/agency_staff/Candidates.php,All methods protected,OK
Controller,/staff/Candidates.php,All methods protected,OK
View,/admin/access_groups/ajax_manage.php,Forms have CSRF,OK
View,/admin/administrators/ajax_manage.php,Forms have CSRF,OK
View,/admin/agencies/ajax_manage.php,Forms have CSRF,OK
View,/admin/agency_jobs_listing/ajax_manage.php,Forms have CSRF,OK
View,/admin/jobs/ajax_manage.php,Forms have CSRF,OK
View,/admin/recruiters/ajax_manage.php,Forms have CSRF,OK
View,/admin/staff/ajax_manage.php,Forms have CSRF,OK
View,/admin/template_Sections/ajax_manage.php,Forms have CSRF,OK
View,/admin/templates/agency_template_builder.php,Forms have CSRF,OK
View,/admin/templates/agency_template_instance.php,Forms have CSRF,OK
View,/admin/templates/ajax_manage.php,Forms have CSRF,OK
View,/admin/test_form_builder/ajax_manage.php,Forms have CSRF,OK
View,/admin/view_left_sidebar.php,Forms have CSRF,OK
View,/agency/agency_jobs_listing/ajax_manage.php,Forms have CSRF,OK
View,/agency/agency_staff/ajax_manage.php,Forms have CSRF,OK
View,/agency/candidates/ajax_manage.php,Forms have CSRF,OK
View,/agency/candidates/onboarding.php,Forms have CSRF,OK
View,/agency/chat/conversation.php,Forms have CSRF,OK
View,/agency/jobs_listings/ajax_manage.php,Forms have CSRF,OK
View,/agency/recruiters/ajax_manage.php,Forms have CSRF,OK
View,/agency/template_Sections/ajax_manage.php,Forms have CSRF,OK
View,/agency/templates/agency_template_builder.php,Forms have CSRF,OK
View,/agency/templates/agency_template_instance.php,Forms have CSRF,OK
View,/agency/templates/ajax_manage.php,Forms have CSRF,OK
View,/agency/test_form_builder/ajax_manage.php,Forms have CSRF,OK
View,/agency_staff/view_left_sidebar.php,Forms have CSRF,OK
View,/cms/login/view_forgot_password.php,Forms have CSRF,OK
View,/cms/login/view_login.php,Forms have CSRF,OK
View,/cms/login/view_reset_password.php,Forms have CSRF,OK
View,/front/contact/view_contact.php,Forms have CSRF,OK
View,/recruiter/candidates/ajax_manage.php,Forms have CSRF,OK
View,/recruiter/candidates/required_documents_form.php,Forms have CSRF,OK
View,/recruiter/jobs/ajax_manage.php,Forms have CSRF,OK
View,/staff/candidates/ajax_manage.php,Forms have CSRF,OK
